"BBRefName","BBRefLink","BBRefID","BBRefBirthDate"
"Deandre Ayton","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/aytonde01.html","aytonde01",1998-07-23
"Kelenna Azubuike","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/azubuke01.html","azubuke01",1983-12-16
"Udoka Azubuike","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/a/azubuud01.html","azubuud01",1999-09-17
"Chris Babb","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/babbch01.html","babbch01",1990-02-14
"Luke Babbitt","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/babbilu01.html","babbilu01",1989-06-20
"Miloš Babić","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/babicmi01.html","babicmi01",1968-11-23
"Dwayne Bacon","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bacondw01.html","bacondw01",1995-08-30
"Dalibor Bagarić","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bagarda01.html","bagarda01",1980-02-07
"John Bagley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baglejo01.html","baglejo01",1960-04-23
"Marvin Bagley III","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baglema01.html","baglema01",1999-03-14
"Thurl Bailey","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baileth01.html","baileth01",1961-04-07
"Toby Bailey","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baileto01.html","baileto01",1975-11-19
"Cameron Bairstow","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bairsca01.html","bairsca01",1990-12-07
"Mark Baker","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bakerla01.html","bakerla01",1969-11-11
"Maurice Baker","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bakerma01.html","bakerma01",1979-07-28
"Ron Baker","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bakerro01.html","bakerro01",1993-03-30
"Vin Baker","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bakervi01.html","bakervi01",1971-11-23
"Wade Baldwin","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baldwwa01.html","baldwwa01",1996-03-29
"Renaldo Balkman","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/balkmre01.html","balkmre01",1984-07-14
"Cedric Ball","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/ballce01.html","ballce01",1968-04-16
"LaMelo Ball","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/ballla01.html","ballla01",2001-08-22
"Lonzo Ball","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/balllo01.html","balllo01",1997-10-27
"Mo Bamba","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bambamo01.html","bambamo01",1998-05-12
"Desmond Bane","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/banede01.html","banede01",1998-06-25
"Marcus Banks","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/banksma01.html","banksma01",1981-11-19
"Ken Bannister","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bannike01.html","bannike01",1960-04-01
"Leandro Barbosa","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barbole01.html","barbole01",1982-11-28
"Steve Bardo","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bardost01.html","bardost01",1968-04-05
"J.J. Barea","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bareajo01.html","bareajo01",1984-06-26
"Andrea Bargnani","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bargnan01.html","bargnan01",1985-10-26
"Charles Barkley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barklch01.html","barklch01",1963-02-20
"Erick Barkley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barkler01.html","barkler01",1978-02-21
"Harrison Barnes","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barneha02.html","barneha02",1992-05-30
"Matt Barnes","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barnema02.html","barnema02",1980-03-09
"Andre Barrett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barrean01.html","barrean01",1982-02-21
"RJ Barrett","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barrerj01.html","barrerj01",2000-06-14
"Dana Barros","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barroda01.html","barroda01",1967-04-13
"Earl Barron","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barroea01.html","barroea01",1981-08-14
"Brent Barry","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barrybr01.html","barrybr01",1971-12-31
"Drew Barry","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barrydr01.html","barrydr01",1973-02-17
"Jon Barry","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/barryjo01.html","barryjo01",1969-07-25
"Will Barton","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bartowi01.html","bartowi01",1991-01-06
"Eddie Basden","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/basdeed01.html","basdeed01",1983-02-15
"Brandon Bass","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bassbr01.html","bassbr01",1985-04-30
"Maceo Baston","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bastoma01.html","bastoma01",1975-05-29
"Mengke Bateer","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bateeme01.html","bateeme01",1975-11-20
"Keita Bates-Diop","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bateske01.html","bateske01",1996-01-23
"Esteban Batista","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/batises01.html","batises01",1983-09-02
"Mike Batiste","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/batismi01.html","batismi01",1977-11-21
"Shane Battier","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/battish01.html","battish01",1978-09-09
"Tony Battie","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/battito01.html","battito01",1976-02-11
"John Battle","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/battljo01.html","battljo01",1962-11-09
"Kenny Battle","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/battlke01.html","battlke01",1964-10-10
"Nicolas Batum","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/batumni01.html","batumni01",1988-12-14
"Lonny Baxter","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baxtelo01.html","baxtelo01",1979-01-27
"Jerryd Bayless","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bayleje01.html","bayleje01",1988-08-20
"Aron Baynes","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/baynear01.html","baynear01",1986-12-09
"Sergei Bazarevich","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bazarse01.html","bazarse01",1965-03-16
"Kent Bazemore","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bazemke01.html","bazemke01",1989-07-01
"Darius Bazley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bazleda01.html","bazleda01",2000-06-12
"Bradley Beal","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/bealbr01.html","bealbr01",1993-06-28
"Jerome Beasley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beaslje01.html","beaslje01",1980-05-17
"Malik Beasley","https://www.basketball-reference.comhttps://www.basketball-reference.com/players/b/beaslma01.html","beaslma01",1996-11-26
