"draft_year","pick","player","draft_age","draft_age2","pick_group","year_group","draft_team","make_nba","nba_seasons","player_id","season","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs"
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1995,2103,1069,-4.68611957,1.348168489,-3.33795108,-0.323604746,-0.286284533,-0.037320213
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1992,2572,1211,-1.870291796,1.022037858,-0.848253938,1.17900876,1.17900876,0
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1990,3430,1719,-3.08866086,1.673926848,-1.414734013,1.171951779,1.171951779,0
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1993,1385,674,-3.149433708,1.179518204,-1.969915503,0.269293943,0.269293943,0
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1996,1114,581,-3.768362103,0.620103538,-3.148258565,-0.119496504,-0.119496504,0
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1997,681,368,-6.066680731,1.927363953,-4.139316777,-0.265169091,-0.223226572,-0.041942519
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",2000,714,389,-6.788688565,-0.948003664,-7.736692228,-1.001628453,-0.976871681,-0.024756772
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1991,4808,2291,-3.048182055,0.958411792,-2.089770263,0.770915403,0.770915403,0
"1990",18,"Duane Causwell",22.0958904109589,22,"11-18","90's","SAC","Yes",11,"causwdu01",1999,350,185,-3.13776332,1.530549632,-1.607213688,0.109430773,0.109430773,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1997,3366,1719,1.308574738,-1.254806908,0.053767831,2.496909184,2.496909184,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",2001,128,65,-7.136696747,-0.778453085,-7.915149832,-0.174169054,-0.174169054,0
"1990",19,"Dee Brown",21.5972602739726,21,"19-30","90's","BOS","Yes",12,"brownde01",1998,2577,1377,2.306727491,-1.231155066,1.075572425,2.694075613,2.694075613,0
